ID;COD;file_audio;data;orario;AUTORE;operatore;file_immagine;Titolo;directory;POINT_X;POINT_Y;classe_legenda;microfono;frequenza_di_campionamento;bitrate;gain;impostazioni_varie;note;TENERE;TESTO;IMMAGINE
21;GU_21;ZOOM0023.mp3;30/01/2022;14:53;Guido;Guido;underponte.jpg;Sotto il ponte;GU_PONTE_2;8.882420336;45.34022767;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;sotto al ponte numero 2;0;1;1
22;GU_22;ZOOM0024.mp3;30/01/2022;15:03;Guido;Guido;ponte_1.jpg;Ruggito del Ticino;GU_TICINO_v1;8.879441251;45.34036092;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;dove il ticino è più forte;0;1;1
23;GU_23;ZOOM0025.mp3;30/01/2022;15:08;Guido;Guido;sotto.jpg;Ruggito del Ticino;GU_TICINO_v2;8.878860663;45.34054176;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;ruggito e mezzi;0;1;1
24;GU_24;ZOOM0026.mp3;30/01/2022;15:10;Guido;Guido;dettaglio.jpg;Fiume azzurro;GU_TICINO_v3;8.878451395;45.34069404;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;non male anche questo;1;1;0
25;GU_25;ZOOM0027.mp3;30/01/2022;16:04;Guido;Guido;cigni.jpg;Cigni fx;GU_TICINO_v4;8.88500919;45.33987551;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;cigni figo;1;1;0
26;GU_26;ZOOM0031.mp3;30/01/2022;18:00;Guido;Guido;;What are you doing here? Get the F out!!!;GU_POLIGONO;8.861188604;45.33114616;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;cani e bang bang;1;1;0
27;GU_27;ZOOM0032.mp3;30/01/2022;18:30;Guido;Guido;;Campane;GU_STRADA_MORABASSA;8.860613964;45.33321272;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;campane, non male;1;1;0
28;GU_28;ZOOM0034.mp3;30/01/2022;19:00;Guido;Guido;;Acqua a Morabassa;GU_MOLINO_MORABASSA_v1;8.861099374;45.33092487;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;acqua, cani…mah;1;1;0
29;GU_29;ZOOM0035.mp3;30/01/2022;19:01;Guido;Guido;;Acquona;GU_MOLINO_MORABASSA_v2;8.861060113;45.33069287;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;acqua, cani;0;1;0
30;GU_30;ZOOM0023.mp3;05/02/2022;14:50;Guido;Guido;;Pavè;GU_MADONNA_7_DOLORI;8.855686002;45.3200354;;Zoom h1n;96 khz;24 bit;10;no limiter no lo cut no auto level;macchine, discorsi;1;1;0
31;AN_1;castello ore 18.mp3;20/01/2022;18:00;Andrea;Andrea;;Castello alle 18;AN_CASTELLO_ORE_18;8.856819;45.316389;;;;;;;;1;1;0
32;AN_2;portone.mp3;20/01/2022;;Andrea;Andrea;;Portone;AN_PORTONE;8.856105;45.315783;;;;;;;;1;1;0
33;AN_3;via mulini acqua.mp3;20/01/2022;;Andrea;Andrea;;Via Mulini;AN_VIA_MULINI;8.854067;45.314307;;;;;;;;1;1;0
34;AL_1;corso torino 9 traffico.mp3;;;Alice;Alice;;Traffico di Corso Torino;AL_CORSO_TORINO_TRAFFICO;8.850292;45.314252;;;;;;;;1;1;0
35;AL_2;mulino via mulini.mp3;;;Alice;Alice;;Il mulino di Via Mulini;AL_VIA_MULINI_MULINO;8.854374;45.314191;;;;;;;;1;1;0
